ID_ALUNO;NOME;SEXO;RG;DATA_NASC;EMAIL;TELEFONE;ENDERECO
372510;Enzo Gabriel Cavalcante;M;906.785.132-95;1990-01-05;enzo gabriel.cavalcante@trabalhopuc.br;51 3590 6073;Ladeira Otávio Pimenta, 27 Paquetá 67841636 Albuquerque / PR
833344;Josué Rezende;M;974.308.621-87;1956-03-03;josué.rezende@trabalhopuc.br;(011) 3724-5442;Distrito Moreira, 87 Palmares 81443-946 da Rosa do Sul / AP
743610;Pedro Miguel Novais;M;092.648.153-33;1971-07-01;pedro miguel.novais@trabalhopuc.br;(071) 6687-0576;Viaduto de Vieira, 9 Jardim América 53682-245 Pinto / AM
251735;Luiz Gustavo Brito;M;498.176.035-39;1988-06-22;luiz gustavo.brito@trabalhopuc.br;21 0511-0965;Aeroporto Silveira, 86 Novo Das Industrias 70294-718 Ferreira / RJ
6768;Rafael Porto;M;512.890.674-49;1959-09-07;rafael.porto@trabalhopuc.br;84 1740-3159;Rua André Aparecida, 77 São Benedito 90988-406 Monteiro do Sul / AL
101244;Thales Moura;M;162.784.593-37;1951-05-15;thales.moura@trabalhopuc.br;+55 51 5596 6039;Estação Carvalho, 63 Marieta 1ª Seção 57094-090 Cavalcanti / RJ
338243;Gael Henrique Moreira;M;927.581.046-01;1952-05-27;gael henrique.moreira@trabalhopuc.br;11 9924 3350;Morro Silva, 8 Barro Preto 83050016 Andrade de Aragão / SE
973946;João Sousa;M;890.732.541-32;1976-09-30;joão.sousa@trabalhopuc.br;+55 11 6029 0674;Morro Monteiro, 85 Coração Eucarístico 62734252 Sampaio / BA
746241;José Pedro Souza;M;367.952.418-82;1992-11-17;josé pedro.souza@trabalhopuc.br;(021) 2029 4211;Trecho Maria Ferreira, 38 Vila Dos Anjos 06433267 Borges / RR
990015;Bianca Sampaio;F;068.231.745-44;1992-01-21;bianca.sampaio@trabalhopuc.br;(021) 2569-3333;Praia Nogueira, 405 Vila Pinho 11560016 Moreira / SE
396308;Diego Vasconcelos;M;395.607.214-61;1983-10-14;diego.vasconcelos@trabalhopuc.br;+55 (051) 2714 0277;Vila de Ribeiro Mala E Cuia 61406-107 Siqueira / ES
922901;Bruna Lima;F;534.209.187-04;1982-10-31;bruna.lima@trabalhopuc.br;+55 21 2389 2344;Lagoa de Freitas, 816 Delta 18027914 Sousa de Minas / RS
255590;Henrique da Rocha;M;208.451.396-06;1981-11-13;henrique.darocha@trabalhopuc.br;0900-524-2675;Viela de Vasconcelos, 80 João Alfredo 57882-075 Mendes / RO
646425;Rafael Brito;M;348.605.297-74;1972-02-09;rafael.brito@trabalhopuc.br;41 8890 5658;Rodovia Maria Luiza Nogueira, 24 Mineirão 24412-402 Alves / AP
808641;Theodoro Pastor;M;537.081.462-71;1991-11-03;theodoro.pastor@trabalhopuc.br;+55 (011) 0109-0076;Jardim de Casa Grande Calafate 81742-272 Nunes / PI
531660;Hadassa Dias;F;719.326.405-25;1957-04-25;hadassa.dias@trabalhopuc.br;(021) 5583-2230;Avenida Farias, 64 Vila Oeste 74978124 da Paz do Campo / BA
941972;Bento Barros;M;024.678.139-40;1957-09-02;bento.barros@trabalhopuc.br;0300-472-8232;Estação de Mendes, 786 Vila Formosa 24314136 Machado da Praia / ES
278732;Giovanna Porto;F;607.548.931-20;1984-06-20;giovanna.porto@trabalhopuc.br;+55 11 3091 2159;Esplanada Sabrina Dias, 86 Santa Efigênia 91665097 Dias de Montenegro / MA
826914;Luiz Fernando da Mata;M;268.549.370-00;1991-11-10;luiz fernando.damata@trabalhopuc.br;0300 364 7116;Estação de Novaes, 15 Vila Ouro Minas 67733395 da Rosa do Campo / RR
601269;Esther da Mota;F;849.237.601-50;1971-08-12;esther.damota@trabalhopuc.br;(011) 6925-5470;Setor Maria Fernanda Gomes, 15 Suzana 15408-791 da Costa / SC
742340;Maria Fernanda Vargas;F;765.981.234-37;1959-06-07;maria fernanda.vargas@trabalhopuc.br;+55 71 2790-3889;Viela Manuella Almeida, 20 Miramar 59268-155 da Cruz de Minas / RN
315666;Heloísa Cassiano;F;465.381.907-66;1954-04-15;heloísa.cassiano@trabalhopuc.br;(081) 0950 1880;Estrada de Dias Camponesa 2ª Seção 74142-814 Guerra das Pedras / RS
963650;Bernardo Melo;M;236.478.095-00;1987-06-25;bernardo.melo@trabalhopuc.br;+55 81 4715-1244;Loteamento de Freitas, 533 Glória 02984-804 Cardoso / PI
346062;Davi Luiz Sales;M;607.845.213-44;1993-12-08;davi luiz.sales@trabalhopuc.br;0300-301-4765;Morro Emilly Araújo, 67 Jardim São José 61838135 Duarte do Amparo / MA
461526;Samuel Nunes;M;039.817.246-31;1959-06-21;samuel.nunes@trabalhopuc.br;+55 51 8443 3553;Estação Porto Vila Ipiranga 74383810 Gonçalves do Amparo / RJ
814696;João Guilherme Lima;M;392.804.561-05;1977-09-12;joão guilherme.lima@trabalhopuc.br;81 5534-5483;Lago Guerra, 541 Tupi A 36084835 Nascimento / RO
541983;Lívia Moraes;F;487.325.610-08;1964-04-07;lívia.moraes@trabalhopuc.br;0500-280-7082;Praça de Rocha, 53 Bonfim 63785-726 Pinto do Sul / RN
42200;Liz Montenegro;F;470.691.823-50;1970-01-29;liz.montenegro@trabalhopuc.br;(084) 7568 0894;Quadra de Vieira Santa Sofia 42272-575 Silveira do Campo / RO
978119;Antônio Dias;M;164.089.253-24;1964-05-21;antônio.dias@trabalhopuc.br;+55 71 3626 2875;Colônia de Macedo Vila Cemig 67319-961 Rios / AP
976284;Maria Laura Guerra;F;753.610.249-61;1979-10-09;maria laura.guerra@trabalhopuc.br;(084) 1030 6643;Distrito de Cavalcanti, 648 Coqueiros 03728861 Santos do Galho / TO
24740;Sabrina Moraes;F;740.382.961-13;1951-11-26;sabrina.moraes@trabalhopuc.br;(011) 8589-0871;Estrada Casa Grande, 71 Novo Aarão Reis 45395-237 Sales / RO
296006;Benício da Conceição;M;534.186.972-91;1950-02-14;benício.daconceição@trabalhopuc.br;+55 (031) 4226-8370;Trecho Camargo, 4 Belmonte 68741011 Cunha / AL
704869;Alexia Viana;F;957.326.180-40;1976-04-17;alexia.viana@trabalhopuc.br;41 2203 0369;Setor Gomes, 892 Tirol 05271-242 da Costa / SC
652688;Theo Caldeira;M;802.596.734-47;1964-04-26;theo.caldeira@trabalhopuc.br;0500-792-1467;Conjunto de Casa Grande, 24 Vila Real 1ª Seção 64679744 da Paz de Duarte / AP
70228;Aurora Costela;F;582.391.406-70;1973-04-24;aurora.costela@trabalhopuc.br;84 1913-4703;Quadra Rhavi Cavalcanti São Gabriel 22861-819 Azevedo Alegre / AL
469772;Olivia Ferreira;F;063.819.427-03;1954-12-20;olivia.ferreira@trabalhopuc.br;51 1000 3811;Conjunto de Correia, 3 Primeiro De Maio 22090313 Lima da Prata / PB
390891;João Lucas Pires;M;836.079.124-40;1951-01-12;joão lucas.pires@trabalhopuc.br;(011) 6937-9284;Quadra Vicente Porto, 654 Biquinhas 14370370 Rios / RJ
142863;Sarah Correia;F;387.045.629-92;1956-08-14;sarah.correia@trabalhopuc.br;(011) 1851 6387;Via Santos, 228 Horto Florestal 89153-006 das Neves / AL
157041;Rael Farias;M;319.540.687-00;1968-03-08;rael.farias@trabalhopuc.br;(011) 1082 0480;Colônia de Rios, 6 Vila Santo Antônio 69007-623 Duarte dos Dourados / PR
283341;Maria Liz Borges;F;693.580.724-74;1964-02-22;maria liz.borges@trabalhopuc.br;+55 41 3337-2136;Trevo de Ramos, 47 São Luiz 05698-891 Castro / MS
985445;Fernanda Pacheco;F;164.382.597-64;1981-11-29;fernanda.pacheco@trabalhopuc.br;0500 238 2277;Praia de Oliveira, 5 Vila Aeroporto Jaraguá 46473034 Machado / TO
295976;Anthony Lima;M;384.571.062-44;1975-07-14;anthony.lima@trabalhopuc.br;+55 (084) 8268 4535;Jardim Brito, 97 Vila Santa Monica 1ª Seção 20491-919 Nunes das Pedras / SC
297122;Vitor Hugo Vieira;M;045.876.392-65;1960-11-09;vitor hugo.vieira@trabalhopuc.br;+55 71 1692 6601;Parque de Almeida Mineirão 58164592 Ramos / CE
637144;Vicente Novaes;M;092.843.571-79;1960-03-01;vicente.novaes@trabalhopuc.br;0800-014-4897;Vila Levi Garcia, 73 Vila São Dimas 63127-940 Sousa de Barbosa / RS
326694;Bruno Sousa;M;894.630.251-89;1989-07-23;bruno.sousa@trabalhopuc.br;0900-465-9841;Núcleo de Melo, 11 Carlos Prates 29618-234 Aragão da Serra / DF
727424;Lucca Leão;M;287.159.360-40;1983-07-25;lucca.leão@trabalhopuc.br;+55 (061) 3723-5670;Vila Ramos, 27 São Damião 42889194 Alves / RR
169399;Carolina Rodrigues;F;650.187.342-80;1960-09-17;carolina.rodrigues@trabalhopuc.br;+55 31 2205 1737;Rua Manuella Mendonça, 49 Tupi A 61980-151 Almeida / AP
918304;Bianca Rodrigues;F;064.395.718-93;1956-12-08;bianca.rodrigues@trabalhopuc.br;+55 84 2660-4014;Residencial da Costa Santa Tereza 16317-410 da Mata de Cavalcanti / SE
288891;Stella da Mata;F;517.243.806-80;1962-08-04;stella.damata@trabalhopuc.br;+55 (011) 1132-1413;Passarela José Pedro Rocha, 6 Grota 96202231 Sampaio / GO
443322;João Pimenta;M;942.075.316-61;1994-10-13;joão.pimenta@trabalhopuc.br;+55 (084) 0380-2117;Travessa de Nascimento, 1 Apolonia 10655-580 Machado / DF
813386;Vitor Hugo Silva;M;084.561.729-01;1994-06-26;vitor hugo.silva@trabalhopuc.br;+55 21 8620 3401;Conjunto Vitória Pereira, 784 Esplanada 33259362 Ferreira / MT
610413;Maysa Macedo;F;461.985.723-82;1952-05-16;maysa.macedo@trabalhopuc.br;71 6680-6919;Setor de Melo, 879 Mineirão 11179-385 Sampaio / RO
705889;Davi Lucca Sales;M;504.918.763-00;1990-12-25;davi lucca.sales@trabalhopuc.br;+55 71 6941-9256;Jardim Aylla Borges, 61 Cardoso 20887-845 Silveira / BA
781174;Pedro Lucas Pastor;M;908.732.456-10;1981-10-23;pedro lucas.pastor@trabalhopuc.br;21 7011 7557;Via Cauã Silva, 798 Dom Bosco 80099-632 Almeida / MT
914493;Vitor Gabriel Rezende;M;165.807.293-68;1972-04-09;vitor gabriel.rezende@trabalhopuc.br;+55 41 1144 0518;Fazenda Caldeira Vila São Rafael 10312614 Casa Grande / MA
804504;Mariana da Rosa;F;573.204.986-00;1968-06-01;mariana.darosa@trabalhopuc.br;0500 691 1833;Chácara da Rocha, 2 Indaiá 26370-817 Cunha de Mendonça / MT
410727;Luna Pinto;F;965.142.307-25;1984-10-20;luna.pinto@trabalhopuc.br;+55 (051) 5569 8966;Rodovia da Mota, 67 Tupi B 29478-591 da Mota / GO
59189;Marcela Sousa;F;190.647.258-02;1957-04-25;marcela.sousa@trabalhopuc.br;(071) 4385-1493;Fazenda de Ribeiro, 8 Vila União 21513337 Albuquerque Alegre / GO
552157;Maria Luísa Alves;F;839.215.047-32;1989-04-22;maria luísa.alves@trabalhopuc.br;+55 (061) 5568-3125;Loteamento de Albuquerque Cabana Do Pai Tomás 32725-976 Viana / AM
288214;Henry Fernandes;M;698.521.470-30;1957-03-22;henry.fernandes@trabalhopuc.br;(041) 0698-2216;Pátio Vitória Sá, 28 Ribeiro De Abreu 92502479 Vargas Paulista / PA
900626;Gael Henrique Leão;M;742.305.618-90;1975-03-01;gael henrique.leão@trabalhopuc.br;(071) 1130-4227;Colônia Davi Lucas Cavalcante, 32 Conjunto Santa Maria 97466-276 Rodrigues / RJ
730723;Maria Fernanda Ferreira;F;483.029.615-15;1988-11-10;maria fernanda.ferreira@trabalhopuc.br;+55 81 1887-4961;Rua de da Cruz, 84 Conjunto Taquaril 72151132 Pastor da Prata / PB
622097;Matheus Araújo;M;064.513.892-42;1992-10-15;matheus.araújo@trabalhopuc.br;81 1254 9873;Sítio de Mendonça, 71 Conjunto Serra Verde 20113-983 Sampaio de Camargo / RR
631664;Pedro Lucas Brito;M;610.973.254-07;1969-02-12;pedro lucas.brito@trabalhopuc.br;(021) 8375-0716;Área de Camargo, 8 Santo Agostinho 01643-620 Abreu do Galho / CE
988691;Marcos Vinicius Farias;M;825.716.439-91;1953-01-23;marcos vinicius.farias@trabalhopuc.br;61 8396-9873;Esplanada Breno Melo, 2 Barão Homem De Melo 3ª Seção 94774860 Viana / SC
100418;Bernardo Cavalcante;M;019.586.724-67;1976-04-29;bernardo.cavalcante@trabalhopuc.br;+55 41 6842-8277;Área Ana Cecília Cavalcanti, 389 Vila Ecológica 55165-968 Fonseca Alegre / PI
758965;Valentina Barros;F;059.481.723-41;1958-05-25;valentina.barros@trabalhopuc.br;(031) 8776 1956;Residencial de da Mota Bonsucesso 49267-633 Cassiano / SC
659507;Luana Santos;F;627.930.185-03;1994-11-03;luana.santos@trabalhopuc.br;+55 61 8109-0759;Distrito Pedro Cavalcanti Vila Novo São Lucas 58094079 Sousa do Sul / AL
163111;Thales Câmara;M;172.038.649-87;1984-10-24;thales.câmara@trabalhopuc.br;+55 (041) 3667-1674;Estação de Nogueira, 93 Santa Isabel 31439601 Macedo do Campo / AL
187524;Isabel Rezende;F;732.098.561-68;1961-11-19;isabel.rezende@trabalhopuc.br;0900-450-0917;Largo de Monteiro, 699 Europa 54327044 Mendes / PB
487607;Ian Sampaio;M;427.135.069-99;1989-01-30;ian.sampaio@trabalhopuc.br;0300-939-3176;Núcleo Pereira, 54 Camponesa 1ª Seção 35213-080 Duarte / DF
386371;Julia da Luz;F;320.758.469-10;1988-11-25;julia.daluz@trabalhopuc.br;+55 71 3205 4332;Lago Lopes Lajedo 91959-179 Freitas do Galho / TO
785375;Mirella Caldeira;F;238.917.456-64;1971-12-17;mirella.caldeira@trabalhopuc.br;(041) 1924-3803;Ladeira Nina Sampaio, 22 Solar Do Barreiro 44021-973 Marques / MT
957845;Ana Cecília Ramos;F;342.178.609-78;1984-01-21;ana cecília.ramos@trabalhopuc.br;+55 (031) 4568 1792;Campo de Guerra, 413 Alpes 32547496 Souza dos Dourados / RR
219656;Agatha Costela;F;953.872.460-74;1967-09-27;agatha.costela@trabalhopuc.br;(041) 0666 4215;Avenida Alexandre Pinto Morro Dos Macacos 07477658 da Rocha do Galho / RJ
326013;Olivia Nogueira;F;427.836.501-26;1957-11-15;olivia.nogueira@trabalhopuc.br;(071) 3020-2983;Largo de Souza, 397 Vila Nova Cachoeirinha 3ª Seção 87879974 Moraes de Gomes / SE
781788;Gustavo Henrique Abreu;M;503.287.946-00;1976-12-23;gustavo henrique.abreu@trabalhopuc.br;84 4908-9319;Residencial Rocha, 44 União 56668404 Nunes do Oeste / MS
166594;Daniela Rios;F;023.847.691-03;1964-01-08;daniela.rios@trabalhopuc.br;0900-215-5659;Lagoa de Garcia, 9 Primeiro De Maio 69291-110 Vargas de Camargo / MT
712213;Clarice Vieira;F;893.250.164-51;1985-02-01;clarice.vieira@trabalhopuc.br;21 6766-6501;Ladeira Léo Santos, 28 Saudade 64317-041 Rocha do Campo / BA
572462;Alexia da Cruz;F;592.043.617-43;1959-12-28;alexia.dacruz@trabalhopuc.br;41 1135 7801;Distrito Siqueira, 23 Santa Helena 26273811 Pereira / AL
145050;Gustavo Henrique Teixeira;M;291.584.367-82;1952-05-23;gustavo henrique.teixeira@trabalhopuc.br;+55 21 3333-0121;Estação Pacheco, 17 Salgado Filho 35873-878 Cassiano / DF
652051;Leandro Camargo;M;190.564.327-61;1991-02-25;leandro.camargo@trabalhopuc.br;(021) 0117-1664;Residencial de Cirino, 93 Cônego Pinheiro 1ª Seção 73170768 Vieira do Campo / SC
579678;Maria Fernanda Barros;F;869.241.705-01;1991-11-17;maria fernanda.barros@trabalhopuc.br;+55 (011) 9132 8479;Alameda Daniela Rios Monsenhor Messias 27123361 da Luz da Mata / MG
731522;Antonella Rocha;F;237.401.598-04;1982-07-02;antonella.rocha@trabalhopuc.br;+55 51 4358 1939;Chácara de Casa Grande, 333 Alta Tensão 1ª Seção 81678439 Peixoto do Oeste / CE
798744;Isis Abreu;F;102.369.785-86;1985-11-07;isis.abreu@trabalhopuc.br;41 5760 6695;Área de Monteiro, 84 Marieta 2ª Seção 10266935 Fernandes / RR
676806;Lara Lima;F;957.618.423-19;1961-09-17;lara.lima@trabalhopuc.br;51 5333 4811;Favela de Sousa, 426 Santo Agostinho 38469392 da Costa / RJ
836115;João Felipe Leão;M;482.093.751-05;1988-10-02;joão felipe.leão@trabalhopuc.br;0300 144 9485;Aeroporto Ana Luiza Gomes, 65 Conjunto Jardim Filadélfia 75003-785 Moreira Paulista / RO
56184;Maria Isis Nascimento;F;970.536.281-59;1985-04-18;maria isis.nascimento@trabalhopuc.br;51 1935 2232;Vereda Brito, 40 Gameleira 22158-874 Gonçalves da Serra / MG
472080;Leonardo Novaes;M;951.203.748-32;1975-11-01;leonardo.novaes@trabalhopuc.br;(021) 2341-6647;Estrada de Freitas, 7 Santa Margarida 81582-574 Ribeiro do Amparo / MT
772416;João Gabriel Fonseca;M;805.463.172-35;1960-03-19;joão gabriel.fonseca@trabalhopuc.br;+55 51 0592 0536;Colônia Stephany Correia São Damião 53799322 da Cunha / SP
378080;Nina Pacheco;F;716.832.940-50;1953-11-10;nina.pacheco@trabalhopuc.br;(021) 9036-5557;Travessa Campos, 46 Cidade Nova 01598489 Campos / PI
316831;Joana Barbosa;F;162.037.459-52;1957-10-02;joana.barbosa@trabalhopuc.br;+55 21 2765-6591;Via Kevin Brito, 87 Acaiaca 69797178 Duarte Verde / RJ
47462;Ayla Pastor;F;768.320.914-78;1955-03-26;ayla.pastor@trabalhopuc.br;71 4287 3411;Colônia Ágatha Costa, 3 Ouro Minas 69703095 Cavalcanti Verde / GO
196776;Ravy Fonseca;M;624.391.870-03;1986-07-01;ravy.fonseca@trabalhopuc.br;81 8606 7171;Campo de Costa, 93 Piraja 46904-557 Camargo / AC
732663;Theodoro da Cunha;M;920.835.746-56;1994-02-26;theodoro.dacunha@trabalhopuc.br;(081) 3213-7583;Jardim Ramos, 9 Estrela Do Oriente 34888637 Souza / PE
472410;Bento Azevedo;M;081.749.326-31;1968-05-22;bento.azevedo@trabalhopuc.br;84 9427-0353;Estrada de Ribeiro Santa Lúcia 74079-430 Nunes de Martins / PB
361693;Ana Beatriz Pinto;F;801.952.637-40;1980-11-28;ana beatriz.pinto@trabalhopuc.br;41 7031-2056;Chácara Sales, 77 São Salvador 56289572 da Cruz / ES
791455;Liam Moreira;M;365.047.928-10;1986-05-22;liam.moreira@trabalhopuc.br;0300 637 9591;Esplanada de Campos Nova Floresta 82517776 Cardoso do Sul / AC
106358;João Lucas Sousa;M;528.741.096-49;1954-03-30;joão lucas.sousa@trabalhopuc.br;0900-046-6319;Parque de Aragão, 7 Minas Caixa 49533-972 Vargas Grande / ES
817120;Vitor Hugo Cavalcante;M;634.725.018-71;1973-08-16;vitor hugo.cavalcante@trabalhopuc.br;+55 (061) 4282 5796;Distrito Mariane Pacheco, 49 Barão Homem De Melo 2ª Seção 27019825 Casa Grande Paulista / RJ
125241;Bárbara Cardoso;F;176.829.405-49;1979-06-07;bárbara.cardoso@trabalhopuc.br;84 7638 5113;Lago de das Neves, 20 Itaipu 53129-981 Sales / PR
381680;Theodoro Cassiano;M;920.364.815-15;1983-05-13;theodoro.cassiano@trabalhopuc.br;31 9402 2262;Vereda Moreira, 472 Vila Nova Cachoeirinha 1ª Seção 92574468 da Rosa de Leão / PA
158575;Joana Caldeira;F;479.385.210-60;1995-12-09;joana.caldeira@trabalhopuc.br;+55 81 8271 6551;Viaduto Almeida, 113 Nova Granada 37075465 Barbosa da Mata / GO
897515;Liz Aragão;F;927.548.360-47;1968-09-30;liz.aragão@trabalhopuc.br;+55 61 3407-9732;Distrito Andrade, 53 Taquaril 60010668 Campos / SP
435472;Davi Luiz Freitas;M;563.240.897-38;1971-07-19;davi luiz.freitas@trabalhopuc.br;(061) 1443 3803;Recanto Fernanda Almeida, 45 Aguas Claras 05435693 Novais / AC
58977;Aylla Brito;F;501.846.293-06;1972-05-17;aylla.brito@trabalhopuc.br;+55 (051) 8304 9336;Área de Pimenta, 96 Vila Esplanada 36014210 Peixoto do Sul / PA
954870;Paulo da Paz;M;649.317.082-69;1964-04-24;paulo.dapaz@trabalhopuc.br;+55 (011) 9037 8813;Alameda Cavalcante, 69 Renascença 54443625 Lima das Flores / AL
16049;Luiza Farias;F;503.879.641-93;1957-09-02;luiza.farias@trabalhopuc.br;(061) 8082 9154;Loteamento Ana Cecília da Mota, 10 Marajó 10930-806 Teixeira das Pedras / DF
424636;Nina Alves;F;750.234.689-92;1953-09-27;nina.alves@trabalhopuc.br;(031) 4817-1819;Condomínio Isabel Rezende, 48 Vila Sumaré 02989-513 Rodrigues da Mata / PE
530703;Melissa Lima;F;039.546.721-70;1969-04-05;melissa.lima@trabalhopuc.br;+55 81 5440 0962;Avenida Campos Jardim América 31547473 Sales / PI
280684;Nicole Souza;F;816.435.290-05;1995-04-09;nicole.souza@trabalhopuc.br;0500 774 4506;Praia Alves, 915 Conjunto Jardim Filadélfia 21448-670 Ferreira / ES
65674;Mariane das Neves;F;105.496.237-52;1962-07-12;mariane.dasneves@trabalhopuc.br;(084) 5687-8466;Chácara de Dias, 19 Planalto 26784-617 Freitas de Camargo / PI
101572;Luiz Miguel da Cruz;M;937.168.240-03;1984-12-03;luiz miguel.dacruz@trabalhopuc.br;+55 (071) 4159 3368;Núcleo de Brito, 37 Marçola 14951458 Nunes de Almeida / RO
729554;Gustavo Macedo;M;481.695.372-82;1982-04-26;gustavo.macedo@trabalhopuc.br;+55 51 6393 1218;Rodovia Novaes São Francisco 26369416 Dias / RO
426490;Evelyn Alves;F;380.465.917-93;1951-09-21;evelyn.alves@trabalhopuc.br;+55 21 8368-1652;Aeroporto Yan Martins São Jorge 1ª Seção 08037182 Camargo / SP
438100;Leonardo Cassiano;M;265.793.041-70;1971-09-24;leonardo.cassiano@trabalhopuc.br;0900-962-1114;Ladeira Cavalcante, 83 Conjunto Lagoa 23937-932 Sousa / SE
282938;Bella Sales;F;138.524.607-35;1966-03-09;bella.sales@trabalhopuc.br;61 2550-6377;Lago Olívia da Cunha, 6 Araguaia 94248565 Sampaio de Minas / ES
654662;Emanuelly Farias;F;023.415.768-26;1974-07-20;emanuelly.farias@trabalhopuc.br;0300-636-9376;Largo Mendes, 79 Santa Efigênia 75963-490 Barros de Siqueira / TO
399261;Zoe Carvalho;F;304.751.268-07;1988-08-13;zoe.carvalho@trabalhopuc.br;+55 84 1357 3826;Aeroporto Antônio Sousa, 79 Marçola 31450-868 Sousa / GO
